codice_territorio,comune,2014,2015,2016,2017
"001001","Agliè","16.38","20.77","16.29","14.36",
"001002","Airasca","6.55","7.62","3.97","12.28",
"001003","Ala di Stura","8.52","8.56","12.85","13.03",
"001004","Albiano d'Ivrea","11.32","11.54","16.41","12.46",
"001005","Alice Superiore","8.42","21.23","8.5","8.35",
"001006","Almese","8.74","9.68","7.95","9.04",
"001007","Alpette","21.74","7.42","15.5","16.03",
"001008","Alpignano","9.99","9.91","11.22","12.63",
"001009","Andezeno","13","9.04","8.02","4.96",
"001010","Andrate","3.88","17.58","19.88","14.07",
"001011","Angrogna","10.06","16.8","12.39","12.54",
"001012","Arignano","2.82","6.56","9.32","6.5",
"001013","Avigliana","8.15","10.06","10","9.79",
"001014","Azeglio","12.72","15.77","12.2","14.76",
"001015","Bairo","22.77","13.86","15.09","21.22",
"001016","Balangero","10.35","10.4","8.53","13.86",
"001017","Baldissero Canavese","16.56","12.79","12.77","14.69",
"001018","Baldissero Torinese","7.66","9.03","6.13","9.09",
"001019","Balme","0","0","26.91","0",
"001020","Banchette","11.31","11.4","13.28","11.69",
"001021","Barbania","14.78","9.3","15.58","8.13",
"001022","Bardonecchia","7.41","11.17","9.71","8.22",
"001023","Barone Canavese","6.94","15.45","10.28","10.3",
"001024","Beinasco","9.27","11.98","9.48","12.19",
"001025","Bibiana","11.82","13.06","10.42","14.43",
"001026","Bobbio Pellice","24.8","12.49","12.38","23.15",
"001027","Bollengo","13.58","17.24","10.75","13.07",
"001028","Borgaro Torinese","7.14","8.24","7.96","8.73",
"001029","Borgiallo","15.94","10.56","13.77","11.8",
"001030","Borgofranco d'Ivrea","11.25","11.53","10.71","9.96",
"001031","Borgomasino","12.22","17.33","24.98","17.47",
"001032","Borgone Susa","9.68","12.94","13.98","14.96",
"001033","Bosconero","13.44","13.31","11.39","12.06",
"001034","Brandizzo","8.33","10.13","10.35","9.4",
"001035","Bricherasio","13.18","11.68","10.38","12.34",
"001036","Brosso","22.4","23.12","9.65","19.68",
"001037","Brozolo","0","10.54","10.71","17.74",
"001038","Bruino","8.51","7.32","5.33","9.63",
"001039","Brusasco","15.45","22.74","12.71","18.79",
"001040","Bruzolo","12.32","9.15","5.9","8.5",
"001041","Buriasco","13.9","15.44","17.11","14.47",
"001042","Burolo","11.43","16.79","7.6","18.74",
"001043","Busano","7.89","10.21","8.97","11.52",
"001044","Bussoleno","12.37","12.76","15.33","13.31",
"001045","Buttigliera Alta","10.14","10.92","11.4","8.89",
"001046","Cafasse","13.71","15.26","12.22","10.22",
"001047","Caluso","11.69","12.77","12.34","13.07",
"001048","Cambiano","10.19","11.9","9.35","13.37",
"001049","Campiglione Fenile","16.13","13.8","5.09","10.26",
"001050","Candia Canavese","12.39","18.91","5.56","16.73",
"001051","Candiolo","9.31","7.39","8.67","8.18",
"001052","Canischio","3.58","28.62","18.21","18.32",
"001053","Cantalupa","12.03","12.86","16.03","10.82",
"001054","Cantoira","16.14","10.7","23.07","14.22",
"001055","Caprie","8.15","11.52","11.97","11.49",
"001056","Caravino","20.91","20.38","15.12","11.87",
"001057","Carema","16.91","18.21","19.12","11.53",
"001058","Carignano","10.53","14.3","13","13.91",
"001059","Carmagnola","9.79","9.35","9.55","9.5",
"001060","Casalborgone","15.07","12.98","12.47","13.14",
"001061","Cascinette d'Ivrea","12.15","8.14","9.9","9.75",
"001062","Caselette","7.28","10.17","11.13","7.22",
"001063","Caselle Torinese","8.38","8.47","7.52","8.82",
"001064","Castagneto Po","10.68","10.08","11.72","11.71",
"001065","Castagnole Piemonte","8.88","10.23","9.81","10.7",
"001066","Castellamonte","13.13","15.22","14.91","13.42",
"001067","Castelnuovo Nigra","11.74","16.3","4.67","16.22",
"001068","Castiglione Torinese","10.13","12.13","8.08","9.42",
"001069","Cavagnolo","14.98","12.41","10.42","15.37",
"001070","Cavour","15.06","15.11","13.4","17.65",
"001071","Cercenasco","6.59","11.62","7.79","12.24",
"001072","Ceres","10.4","19.82","18.99","17.33",
"001073","Ceresole Reale","12.16","6.27","6.31","12.31",
