"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1001","Agliè","16.38","20.77","16.29","14.36","Torino","TO","Piemonte","45.364155","7.768627"
"1002","Airasca","6.55","7.62","3.97","12.28","Torino","TO","Piemonte","44.917111","7.489349"
"1003","Ala di Stura","8.52","8.56","12.85","13.03","Torino","TO","Piemonte","45.315338","7.310341"
"1004","Albiano d'Ivrea","11.32","11.54","16.41","12.46","Torino","TO","Piemonte","45.432778","7.947630"
"1005","Alice Superiore","8.42","21.23","8.5","8.35","Torino","TO","Piemonte","45.459751","7.778171"
"1006","Almese","8.74","9.68","7.95","9.04","Torino","TO","Piemonte","45.117380","7.395079"
"1007","Alpette","21.74","7.42","15.5","16.03","Torino","TO","Piemonte","45.410634","7.580300"
"1008","Alpignano","9.99","9.91","11.22","12.63","Torino","TO","Piemonte","45.092949","7.523704"
"1009","Andezeno","13","9.04","8.02","4.96","Torino","TO","Piemonte","45.036720","7.867392"
"1010","Andrate","3.88","17.58","19.88","14.07","Torino","TO","Piemonte","45.527901","7.875187"
"1011","Angrogna","10.06","16.8","12.39","12.54","Torino","TO","Piemonte","44.843637","7.224525"
"1012","Arignano","2.82","6.56","9.32","6.5","Torino","TO","Piemonte","45.037798","7.901701"
"1013","Avigliana","8.15","10.06","10","9.79","Torino","TO","Piemonte","45.076291","7.401690"
"1014","Azeglio","12.72","15.77","12.2","14.76","Torino","TO","Piemonte","45.424360","7.998470"
"1015","Bairo","22.77","13.86","15.09","21.22","Torino","TO","Piemonte","45.385777","7.758394"
"1016","Balangero","10.35","10.4","8.53","13.86","Torino","TO","Piemonte","45.272547","7.520394"
"1017","Baldissero Canavese","16.56","12.79","12.77","14.69","Torino","TO","Piemonte","45.409729","7.743960"
"1018","Baldissero Torinese","7.66","9.03","6.13","9.09","Torino","TO","Piemonte","45.066635","7.813058"
"1019","Balme","0","0","26.91","0","Torino","TO","Piemonte","45.301740","7.219368"
"1020","Banchette","11.31","11.4","13.28","11.69","Torino","TO","Piemonte","45.459638","7.855495"
"1021","Barbania","14.78","9.3","15.58","8.13","Torino","TO","Piemonte","45.291302","7.631205"
"1022","Bardonecchia","7.41","11.17","9.71","8.22","Torino","TO","Piemonte","45.074286","6.696051"
"1023","Barone Canavese","6.94","15.45","10.28","10.3","Torino","TO","Piemonte","45.326131","7.871779"
"1024","Beinasco","9.27","11.98","9.48","12.19","Torino","TO","Piemonte","45.021576","7.582149"
"1025","Bibiana","11.82","13.06","10.42","14.43","Torino","TO","Piemonte","44.798701","7.288375"
"1026","Bobbio Pellice","24.8","12.49","12.38","23.15","Torino","TO","Piemonte","44.807906","7.119329"
"1027","Bollengo","13.58","17.24","10.75","13.07","Torino","TO","Piemonte","45.471256","7.936168"
"1028","Borgaro Torinese","7.14","8.24","7.96","8.73","Torino","TO","Piemonte","45.151771","7.654847"
"1029","Borgiallo","15.94","10.56","13.77","11.8","Torino","TO","Piemonte","45.416162","7.667490"
"1030","Borgofranco d'Ivrea","11.25","11.53","10.71","9.96","Torino","TO","Piemonte","45.511361","7.856137"
"1031","Borgomasino","12.22","17.33","24.98","17.47","Torino","TO","Piemonte","45.361888","7.988970"
"1032","Borgone Susa","9.68","12.94","13.98","14.96","Torino","TO","Piemonte","45.122759","7.241325"
"1033","Bosconero","13.44","13.31","11.39","12.06","Torino","TO","Piemonte","45.267970","7.765030"
"1034","Brandizzo","8.33","10.13","10.35","9.4","Torino","TO","Piemonte","45.176792","7.836525"
"1035","Bricherasio","13.18","11.68","10.38","12.34","Torino","TO","Piemonte","44.825033","7.303519"
