"codice_territorio","comune","2014","2015","2016","2017","prov_nome","prov_codice","regione","latitudine","longitudine"
"1001","Agliè","2665","2631","2647","2646","Torino","TO","Piemonte","45.364155","7.768627"
"1002","Airasca","3822","3794","3765","3726","Torino","TO","Piemonte","44.917111","7.489349"
"1003","Ala di Stura","466","469","465","456","Torino","TO","Piemonte","45.315338","7.310341"
"1004","Albiano d'Ivrea","1748","1718","1695","1677","Torino","TO","Piemonte","45.432778","7.947630"
"1005","Alice Superiore","713","700","712","725","Torino","TO","Piemonte","45.459751","7.778171"
"1006","Almese","6408","6401","6423","6409","Torino","TO","Piemonte","45.117380","7.395079"
"1007","Alpette","278","261","255","244","Torino","TO","Piemonte","45.410634","7.580300"
"1008","Alpignano","17115","17008","17038","16679","Torino","TO","Piemonte","45.092949","7.523704"
"1009","Andezeno","2000","1984","2006","2027","Torino","TO","Piemonte","45.036720","7.867392"
"1010","Andrate","519","505","501","494","Torino","TO","Piemonte","45.527901","7.875187"
"1011","Angrogna","897","889","886","868","Torino","TO","Piemonte","44.843637","7.224525"
"1012","Arignano","1057","1078","1067","1087","Torino","TO","Piemonte","45.037798","7.901701"
"1013","Avigliana","12522","12516","12480","12443","Torino","TO","Piemonte","45.076291","7.401690"
"1014","Azeglio","1348","1316","1308","1267","Torino","TO","Piemonte","45.424360","7.998470"
"1015","Bairo","797","790","800","802","Torino","TO","Piemonte","45.385777","7.758394"
"1016","Balangero","3190","3156","3177","3173","Torino","TO","Piemonte","45.272547","7.520394"
"1017","Baldissero Canavese","545","550","546","543","Torino","TO","Piemonte","45.409729","7.743960"
"1018","Baldissero Torinese","3783","3750","3760","3720","Torino","TO","Piemonte","45.066635","7.813058"
"1019","Balme","112","115","108","111","Torino","TO","Piemonte","45.301740","7.219368"
"1020","Banchette","3259","3231","3246","3257","Torino","TO","Piemonte","45.459638","7.855495"
"1021","Barbania","1619","1607","1603","1594","Torino","TO","Piemonte","45.291302","7.631205"
"1022","Bardonecchia","3232","3215","3173","3155","Torino","TO","Piemonte","45.074286","6.696051"
"1023","Barone Canavese","579","586","581","584","Torino","TO","Piemonte","45.326131","7.871779"
"1024","Beinasco","18237","18159","18117","17981","Torino","TO","Piemonte","45.021576","7.582149"
"1025","Bibiana","3450","3442","3467","3463","Torino","TO","Piemonte","44.798701","7.288375"
"1026","Bobbio Pellice","558","563","568","555","Torino","TO","Piemonte","44.807906","7.119329"
"1027","Bollengo","2155","2137","2141","2144","Torino","TO","Piemonte","45.471256","7.936168"
"1028","Borgaro Torinese","13599","13592","13538","11889","Torino","TO","Piemonte","45.151771","7.654847"
"1029","Borgiallo","567","569","593","593","Torino","TO","Piemonte","45.416162","7.667490"
"1030","Borgofranco d'Ivrea","3730","3732","3740","3690","Torino","TO","Piemonte","45.511361","7.856137"
"1031","Borgomasino","810","806","795","808","Torino","TO","Piemonte","45.361888","7.988970"
"1032","Borgone Susa","2252","2229","2207","2205","Torino","TO","Piemonte","45.122759","7.241325"
"1033","Bosconero","3146","3167","3156","3146","Torino","TO","Piemonte","45.267970","7.765030"
"1034","Brandizzo","8685","8687","8707","8743","Torino","TO","Piemonte","45.176792","7.836525"
"1035","Bricherasio","4632","4616","4630","4608","Torino","TO","Piemonte","44.825033","7.303519"
"1036","Brosso","445","420","409","404","Torino","TO","Piemonte","45.492403","7.802825"
"1037","Brozolo","478","471","463","439","Torino","TO","Piemonte","45.117698","8.060068"
"1038","Bruino","8576","8639","8635","8605","Torino","TO","Piemonte","45.020801","7.468140"
"1039","Brusasco","1677","1665","1639","1554","Torino","TO","Piemonte","45.156157","8.059950"
"1040","Bruzolo","1537","1524","1525","1533","Torino","TO","Piemonte","45.143204","7.190723"
"1041","Buriasco","1440","1410","1395","1370","Torino","TO","Piemonte","44.872757","7.414650"
"1042","Burolo","1202","1180","1188","1160","Torino","TO","Piemonte","45.483269","7.932449"
"1043","Busano","1644","1687","1658","1642","Torino","TO","Piemonte","45.328840","7.656740"
"1044","Bussoleno","6136","6094","6037","5981","Torino","TO","Piemonte","45.138757","7.150286"
"1045","Buttigliera Alta","6404","6419","6386","6435","Torino","TO","Piemonte","45.066391","7.436610"
"1046","Cafasse","3495","3451","3425","3425","Torino","TO","Piemonte","45.245135","7.518064"
"1047","Caluso","7606","7586","7492","7502","Torino","TO","Piemonte","45.302236","7.889674"
"1048","Cambiano","6158","6107","6086","6027","Torino","TO","Piemonte","44.969012","7.775778"
"1049","Campiglione Fenile","1364","1390","1360","1370","Torino","TO","Piemonte","44.804121","7.314141"
"1050","Candia Canavese","1281","1258","1262","1249","Torino","TO","Piemonte","45.328092","7.887250"
"1051","Candiolo","5705","5669","5633","5612","Torino","TO","Piemonte","44.959172","7.600540"
"1052","Canischio","282","277","272","274","Torino","TO","Piemonte","45.374912","7.594695"
"1053","Cantalupa","2578","2553","2561","2613","Torino","TO","Piemonte","44.937921","7.336660"
"1054","Cantoira","557","564","563","562","Torino","TO","Piemonte","45.337014","7.386993"
"1055","Caprie","2082","2086","2091","2087","Torino","TO","Piemonte","45.118561","7.331660"
"1056","Caravino","942","923","929","925","Torino","TO","Piemonte","45.398678","7.961560"
"1057","Carema","764","774","795","766","Torino","TO","Piemonte","45.582630","7.808010"
"1058","Carignano","9206","9261","9353","9334","Torino","TO","Piemonte","44.905946","7.677451"
"1059","Carmagnola","29092","29079","29131","28976","Torino","TO","Piemonte","44.845885","7.717436"
"1060","Casalborgone","1923","1930","1920","1885","Torino","TO","Piemonte","45.130497","7.941096"
"1061","Cascinette d'Ivrea","1464","1485","1545","1531","Torino","TO","Piemonte","45.481031","7.906627"
"1062","Caselette","3035","3060","3049","3047","Torino","TO","Piemonte","45.107772","7.482317"
"1063","Caselle Torinese","19129","19136","19180","13935","Torino","TO","Piemonte","45.166627","7.644133"
"1064","Castagneto Po","1788","1784","1801","1787","Torino","TO","Piemonte","45.162696","7.897436"
"1065","Castagnole Piemonte","2251","2245","2240","2246","Torino","TO","Piemonte","44.896475","7.565180"
"1066","Castellamonte","9986","9859","9999","9977","Torino","TO","Piemonte","45.382947","7.711908"
"1067","Castelnuovo Nigra","426","433","423","440","Torino","TO","Piemonte","45.437944","7.693822"
"1068","Castiglione Torinese","6447","6416","6460","6489","Torino","TO","Piemonte","45.117775","7.804104"
"1069","Cavagnolo","2274","2237","2179","2114","Torino","TO","Piemonte","45.152317","8.051622"
"1070","Cavour","5572","5545","5498","5492","Torino","TO","Piemonte","44.786659","7.373582"
"1071","Cercenasco","1812","1803","1792","1803","Torino","TO","Piemonte","44.860337","7.503582"
"1072","Ceres","1054","1065","1041","1036","Torino","TO","Piemonte","45.313607","7.388684"
"1073","Ceresole Reale","163","156","161","164","Torino","TO","Piemonte","45.432177","7.234307"
"1074","Cesana Torinese","999","967","961","945","Torino","TO","Piemonte","44.953029","6.793690"
"1075","Chialamberto","352","345","348","343","Torino","TO","Piemonte","45.361860","7.349308"
"1076","Chianocco","1707","1675","1654","1624","Torino","TO","Piemonte","45.145517","7.173780"
"1077","Chiaverano","2118","2095","2067","2073","Torino","TO","Piemonte","45.497383","7.900634"
"1078","Chieri","36680","36595","36742","36858","Torino","TO","Piemonte","45.008885","7.827555"
"1079","Chiesanuova","198","205","233","236","Torino","TO","Piemonte","45.417668","7.655830"
"1080","Chiomonte","937","916","892","883","Torino","TO","Piemonte","45.117784","6.983405"
"1081","Chiusa di San Michele","1664","1647","1667","1646","Torino","TO","Piemonte","45.100868","7.326448"
"1082","Chivasso","26717","26749","26921","26976","Torino","TO","Piemonte","45.190038","7.888952"
"1083","Ciconio","385","384","389","387","Torino","TO","Piemonte","45.328921","7.758960"
"1084","Cintano","254","258","255","259","Torino","TO","Piemonte","45.429097","7.687679"
"1085","Cinzano","339","340","358","343","Torino","TO","Piemonte","45.094651","7.924087"
"1086","Ciriè","19044","18909","18813","18639","Torino","TO","Piemonte","45.235832","7.601493"
"1087","Claviere","217","214","224","209","Torino","TO","Piemonte","44.939420","6.751603"
"1088","Coassolo Torinese","1575","1547","1527","1521","Torino","TO","Piemonte","45.298784","7.460566"
"1089","Coazze","3280","3287","3202","3203","Torino","TO","Piemonte","45.051520","7.303860"
"1090","Collegno","50077","49905","49674","49597","Torino","TO","Piemonte","45.078705","7.566241"
"1091","Colleretto Castelnuovo","321","332","343","330","Torino","TO","Piemonte","45.419419","7.677790"
"1092","Colleretto Giacosa","605","582","572","579","Torino","TO","Piemonte","45.431911","7.803720"
"1093","Condove","4639","4638","4641","4614","Torino","TO","Piemonte","45.113564","7.313229"
"1094","Corio","3272","3277","3260","3250","Torino","TO","Piemonte","45.311742","7.533435"
"1095","Cossano Canavese","514","494","512","500","Torino","TO","Piemonte","45.388299","7.993641"
"1096","Cuceglio","1012","997","990","998","Torino","TO","Piemonte","45.358829","7.816217"
"1097","Cumiana","7909","7826","7870","7873","Torino","TO","Piemonte","44.984980","7.374220"
"1098","Cuorgnè","9963","9906","9789","9728","Torino","TO","Piemonte","45.391341","7.650233"
"1099","Druento","8646","8622","8695","8790","Torino","TO","Piemonte","45.134645","7.576543"
"1100","Exilles","266","273","268","260","Torino","TO","Piemonte","45.097316","6.928746"
"1101","Favria","5202","5196","5171","5186","Torino","TO","Piemonte","45.331072","7.691221"
